"lb","e","ub","time","note","type"
0.157468180425604,0.47516121283769,1.43380191207616,2002.71729946395,"232D","fit"
0.241965293664709,0.602524241927192,1.50036171143203,2002.94053347467,"232D","fit"
0.360512677484406,0.76165007968983,1.60912744577926,2003.16376748539,"232D","fit"
0.517815422142851,0.95589590839874,1.76459979486933,2003.38700149611,"232D","fit"
0.712536127565439,1.18516562002535,1.97129309315068,2003.61023550683,"232D","fit"
0.936059285524019,1.4443933580699,2.22878209222456,2003.83346951755,"232D","fit"
1.16408408097549,1.71099690917442,2.51486165909183,2004.05670352827,"232D","fit"
1.36372162448701,1.95021991109763,2.78895460286652,2004.279937539,"232D","fit"
1.51534868055848,2.13037785155885,2.99502672133509,2004.50317154972,"232D","fit"
1.62526990850624,2.24963928753514,3.11386859347748,2004.72640556044,"232D","fit"
1.69961290076154,2.31878391358729,3.16351966703832,2004.94963957116,"232D","fit"
1.70821453837898,2.3323072252228,3.18441089840418,2005.17287358188,"232D","fit"
1.62618867102921,2.29189262076639,3.23011215039333,2005.3961075926,"232D","fit"
1.46210914530782,2.19780865904996,3.30369515661433,2005.61934160332,"232D","fit"
1.25972254598506,2.05626265013033,3.3564661518499,2005.84257561404,"232D","fit"
1.06729694012445,1.88982822663887,3.34625781442285,2006.06580962476,"232D","fit"
0.91048084664313,1.7237182285706,3.26333556873949,2006.28904363548,"232D","fit"
0.795807566558511,1.57686701188474,3.12451109747961,2006.51227764621,"232D","fit"
0.72217185460577,1.46286885272322,2.96326319922279,2006.73551165693,"232D","fit"
0.68624785341459,1.39067703694864,2.81819842710363,2006.95874566765,"232D","fit"
0.68307861212802,1.36124489414884,2.71270045489145,2007.18197967837,"232D","fit"
0.709113997178522,1.37321449418264,2.65925937795098,2007.40521368909,"232D","fit"
0.760235133722079,1.42285195229761,2.66300199550791,2007.62844769981,"232D","fit"
0.826342389330663,1.49724684830136,2.71285626114882,2007.85168171053,"232D","fit"
0.902786519007115,1.5910643456016,2.80408014358563,2008.07491572125,"232D","fit"
0.984736140643634,1.69882563092771,2.93074297284408,2008.29814973197,"232D","fit"
1.07383472645072,1.81913164907479,3.08170324087338,2008.52138374269,"232D","fit"
1.16486062862489,1.94319494164362,3.2415951646395,2008.74461775342,"232D","fit"
1.24512902595136,2.0595167387803,3.40656197784433,2008.96785176414,"232D","fit"
1.3087472155801,2.16312597528861,3.57526184527108,2009.19108577486,"232D","fit"
1.35113465627431,2.24751012598666,3.73856280197956,2009.41431978558,"232D","fit"
1.3691840082748,2.3043890030771,3.87837474394231,2009.6375537963,"232D","fit"
1.36912794728036,2.33250857133518,3.97376756946587,2009.86078780702,"232D","fit"
1.36617974189354,2.34632936674248,4.02967583870613,2010.08402181774,"232D","fit"
1.37043439785049,2.35824772883764,4.05807994843881,2010.30725582846,"232D","fit"
1.39508474637911,2.39063885368608,4.09663580910547,2010.53048983918,"232D","fit"
1.43021661953972,2.43037395395139,4.12994610421059,2010.75372384991,"232D","fit"
1.45173544442641,2.45232040210729,4.14254220883045,2010.97695786063,"232D","fit"
1.45078280803753,2.45009081483753,4.13772824415488,2011.20019187135,"232D","fit"
1.43186664388693,2.42331055801725,4.10124370566845,2011.42342588207,"232D","fit"
1.39831827326075,2.37332491310465,4.02817530949397,2011.64665989279,"232D","fit"
1.34457830882815,2.30215074587026,3.94168046733556,2011.86989390351,"232D","fit"
1.26770540064372,2.21550032698221,3.8719103794666,2012.09312791423,"232D","fit"
1.16311336815534,2.11609916054359,3.84990472971265,2012.31636192495,"232D","fit"
1.03415386034319,2.01421414904933,3.92307063175701,2012.53959593567,"232D","fit"
0.887096085218219,1.91447673122738,4.13170705573506,2012.76282994639,"232D","fit"
0.733974527889906,1.8226395937723,4.52606318415011,2012.98606395712,"232D","fit"
0.582898005607741,1.73322908058286,5.15370273508824,2013.20929796784,"232D","fit"
0.444273422984268,1.64641046233899,6.10134946243516,2013.43253197856,"232D","fit"
0.325930014802749,1.56465346418842,7.51124582520703,2013.65576598928,"232D","fit"
0.00338720269070204,0.0255078612509732,0.192090950855983,2004.13607444963,"232W","fit"
0.00510622101856596,0.0320850774653481,0.201607449464947,2004.30345296064,"232W","fit"
0.0075933741652194,0.0403056983428719,0.213943009202372,2004.47083147165,"232W","fit"
0.0111165328912472,0.0505004559194239,0.229414699081014,2004.63820998265,"232W","fit"
0.0159847766850414,0.0630253915390281,0.24849893476241,2004.80558849366,"232W","fit"
0.02251821552059,0.0782427704112709,0.271865730924955,2004.97296700467,"232W","fit"
0.0309923857116725,0.0964907374503694,0.300411284898587,2005.14034551568,"232W","fit"
0.0415596277482782,0.118040169113781,0.335264829820025,2005.30772402668,"232W","fit"
0.0544213600115495,0.143268667292426,0.377166447574846,2005.47510253769,"232W","fit"
0.0697865006002107,0.172555354923186,0.426663470106377,2005.6424810487,"232W","fit"
0.0879079283535295,0.206273350341277,0.484014307445649,2005.8098595597,"232W","fit"
0.109290527645753,0.244999756143165,0.549223082761308,2005.97723807071,"232W","fit"
0.134691157722423,0.289454162637636,0.622043151792636,2006.14461658172,"232W","fit"
0.165159942767571,0.340548961611395,0.702189606700271,2006.31199509273,"232W","fit"
0.202065251333194,0.399454365974276,0.789664672392383,2006.47937360373,"232W","fit"
0.247099534870689,0.467683171946311,0.885179931383628,2006.64675211474,"232W","fit"
0.302250706822414,0.547197721596497,0.990652262382709,2006.81413062575,"232W","fit"
0.368924099518138,0.638917390804935,1.10650248331884,2006.98150913676,"232W","fit"
0.447681302895912,0.742947923779346,1.23295660077271,2007.14888764776,"232W","fit"
