"lb","e","ub","time","note","type"
0.162337596127734,0.548260801371998,1.85163457813278,1995.39636730965,"allh5n1","fit"
0.187104005577916,0.586356763650782,1.83755688830426,1995.5000804731,"allh5n1","fit"
0.215062103880987,0.627060275056822,1.82833042855347,1995.60379363656,"allh5n1","fit"
0.246438218472166,0.670402672755156,1.82374205763875,1995.70750680001,"allh5n1","fit"
0.281438532681499,0.716453118056668,1.82386208982273,1995.81121996346,"allh5n1","fit"
0.320191909022773,0.765197713792073,1.82867687999877,1995.91493312691,"allh5n1","fit"
0.362805146522625,0.81676096104316,1.83872382704071,1996.01864629036,"allh5n1","fit"
0.409252471112094,0.871158134306896,1.85439685411503,1996.12235945381,"allh5n1","fit"
0.459317741737989,0.928226124999428,1.87583378745893,1996.22607261727,"allh5n1","fit"
0.512918119574604,0.988402529059834,1.90466961912384,1996.32978578072,"allh5n1","fit"
0.569323598077373,1.05102325944534,1.94028474425712,1996.43349894417,"allh5n1","fit"
0.62791635544525,1.11609264987076,1.98380372209326,1996.53721210762,"allh5n1","fit"
0.6875619582992,1.18290748173711,2.03511857143895,1996.64092527107,"allh5n1","fit"
0.747240266886261,1.25117307941263,2.09495411853274,1996.74463843452,"allh5n1","fit"
0.805641592460929,1.32003399923363,2.16285973246501,1996.84835159798,"allh5n1","fit"
0.861749391407529,1.38912741404366,2.23925307251544,1996.95206476143,"allh5n1","fit"
0.914549067890226,1.45772369273314,2.32350394195647,1997.05577792488,"allh5n1","fit"
0.963265858976731,1.5252096474731,2.4149765582019,1997.15949108833,"allh5n1","fit"
1.00751645850542,1.59112265971983,2.51278408099601,1997.26320425178,"allh5n1","fit"
1.04704241190472,1.65477994207595,2.61526813581077,1997.36691741523,"allh5n1","fit"
1.08216869929265,1.71605695335375,2.7212499022367,1997.47063057869,"allh5n1","fit"
1.11342988472776,1.7748833927344,2.82928552665408,1997.57434374214,"allh5n1","fit"
1.14109513739094,1.83066143504672,2.93693416083602,1997.67805690559,"allh5n1","fit"
1.16600833732861,1.88360531711292,3.04283329464409,1997.78177006904,"allh5n1","fit"
1.18932344137029,1.93442650935555,3.14633159486547,1997.88548323249,"allh5n1","fit"
1.21225069971809,1.9840248592482,3.2471456960431,1997.98919639595,"allh5n1","fit"
1.23612580089495,2.03365106967088,3.34572473948789,1998.0929095594,"allh5n1","fit"
1.26206748720229,2.0843492284404,3.44237669550531,1998.19662272285,"allh5n1","fit"
1.29105512288696,2.13705750758586,3.53742819324144,1998.3003358863,"allh5n1","fit"
1.32439538074441,2.19334473537491,3.63242064880416,1998.40404904975,"allh5n1","fit"
1.36267023591024,2.25364555968256,3.72718077700162,1998.5077622132,"allh5n1","fit"
1.40785252109063,2.32072421542918,3.82551496225412,1998.61147537666,"allh5n1","fit"
1.46063765963368,2.395207031985,3.92774805457856,1998.71518854011,"allh5n1","fit"
1.52299128463739,2.47978662321425,4.03767359583836,1998.81890170356,"allh5n1","fit"
