"lb","e","ub","time","note","type"
0.0090114025429125,0.0593317760335287,0.390645033392888,2000.80567662792,"232","fit"
0.0181214867584721,0.0931501615641861,0.47882123112097,2001.06714309536,"232","fit"
0.0355505491680777,0.145727568361778,0.597361353835449,2001.3286095628,"232","fit"
0.0677221288594896,0.22637831107625,0.756726650340001,2001.59007603024,"232","fit"
0.12455694777553,0.347952264950509,0.972011444133783,2001.85154249768,"232","fit"
0.219321519222572,0.525489437951443,1.25906090007653,2002.11300896512,"232","fit"
0.365940806674581,0.77412529580036,1.63761450668415,2002.37447543257,"232","fit"
0.580508152799055,1.1111903109077,2.12700528166838,2002.63594190001,"232","fit"
0.875531538368141,1.54601875577995,2.72996903992553,2002.89740836745,"232","fit"
1.25137628402849,2.07264307935584,3.43289975144187,2003.15887483489,"232","fit"
1.69054428298548,2.6650519666576,4.2013108183375,2003.42034130233,"232","fit"
2.16690054553538,3.29163338942032,5.00016043314517,2003.68180776977,"232","fit"
2.61375794569156,3.86777082350874,5.72342636694591,2003.94327423722,"232","fit"
2.92081140676611,4.25484399983538,6.19817404882684,2004.20474070466,"232","fit"
3.03279020739639,4.36667102442269,6.28721887489283,2004.4662071721,"232","fit"
2.98395100890985,4.23148331604796,6.00058479530258,2004.72767363954,"232","fit"
2.82080295139831,3.95355925587447,5.54119910501455,2004.98914010698,"232","fit"
2.50649777790354,3.57758937028936,5.10638621555563,2005.25060657442,"232","fit"
2.11101601143021,3.17373099443877,4.77143156211171,2005.51207304187,"232","fit"
1.71427477905087,2.76614936558845,4.46345148762075,2005.77353950931,"232","fit"
1.40718961985627,2.40867401540674,4.12290598980413,2006.03500597675,"232","fit"
1.21281856156092,2.13472086152286,3.75739067742822,2006.29647244419,"232","fit"
1.12140122633154,1.96065167633539,3.42799250228416,2006.55793891163,"232","fit"
1.11203307363514,1.87993754417819,3.17811156322701,2006.81940537907,"232","fit"
1.16905750754321,1.88446562174146,3.03766979520825,2007.08087184652,"232","fit"
1.2741006697905,1.9594411419818,3.01342718038304,2007.34233831396,"232","fit"
1.40832878975352,2.09079609370445,3.10398277536799,2007.6038047814,"232","fit"
1.549522337869,2.26017736403307,3.2967590024632,2007.86527124884,"232","fit"
1.67068866075198,2.42738364765919,3.52680395297058,2008.12673771628,"232","fit"
1.78572779645199,2.59494964944397,3.77087913204267,2008.38820418372,"232","fit"
1.91272307599318,2.78064189522033,4.04238828218229,2008.64967065117,"232","fit"
2.02712307492244,2.96050645586833,4.32366371024286,2008.91113711861,"232","fit"
2.11346428223874,3.12566144632324,4.62262814618405,2009.17260358605,"232","fit"
2.14904855013653,3.2506353000962,4.91688745401318,2009.43407005349,"232","fit"
2.14877483587243,3.33123852725545,5.16440808046111,2009.69553652093,"232","fit"
2.15148260531672,3.38654558450258,5.33059898675111,2009.95700298837,"232","fit"
2.19719850215746,3.45784922704353,5.44180294371449,2010.21846945582,"232","fit"
2.29955054008937,3.57803112312587,5.56730826083945,2010.47993592326,"232","fit"
2.4160429118582,3.71349653428439,5.7077034693627,2010.7414023907,"232","fit"
2.45164032415339,3.78273347513653,5.83653009903061,2011.00286885814,"232","fit"
2.30969114280269,3.67184596958766,5.83734014237804,2011.26433532558,"232","fit"
2.04251171916856,3.39955084656408,5.6582030104968,2011.52580179302,"232","fit"
1.74188144891993,3.04598615588371,5.32644266209283,2011.78726826047,"232","fit"
1.44025046877881,2.66648234363816,4.93673027231352,2012.04873472791,"232","fit"
1.15350429549367,2.31014946855349,4.62658924453676,2012.31020119535,"232","fit"
0.874811400434905,1.96560178774941,4.4164838113483,2012.57166766279,"232","fit"
0.632521854175892,1.66267768359889,4.37059535775189,2012.83313413023,"232","fit"
0.438368342947462,1.41001963428787,4.53535343293611,2013.09460059767,"232","fit"
0.288101367707766,1.19687117474953,4.97221037284132,2013.35606706512,"232","fit"
0.178204919946438,1.01736153135918,5.80805785721623,2013.61753353256,"232","fit"
0.0182149530334264,0.0663012613243915,0.241332340804743,2002.50475654293,"234","fit"
0.0296181655852692,0.092325646945884,0.287797198629192,2002.69372141207,"234","fit"
0.0471533986859847,0.128336139094015,0.349289023835596,2002.88268628121,"234","fit"
0.073276437379519,0.177755167777524,0.431201362969745,2003.07165115035,"234","fit"
0.11167414511468,0.245657733694816,0.540391171672735,2003.26061601949,"234","fit"
0.167775229184034,0.339208707483271,0.685813679361799,2003.44958088863,"234","fit"
0.249739991444902,0.468627120377698,0.87936007638546,2003.63854575778,"234","fit"
0.369917811750777,0.648643627164889,1.13738387743569,2003.82751062692,"234","fit"
0.546896964779506,0.900726892676198,1.48347675602335,2004.01647549606,"234","fit"
0.808275023142126,1.25652336426522,1.95335859668988,2004.2054403652,"234","fit"
1.19237781278604,1.75910102995306,2.59518115852194,2004.39440523434,"234","fit"
1.7472123512251,2.45872079755228,3.45997322882781,2004.58337010348,"234","fit"
2.53926897126481,3.42431300509352,4.61783280524705,2004.77233497262,"234","fit"
3.63833623032485,4.73167986684306,6.15358035787938,2004.96129984177,"234","fit"
5.10447456062461,6.45787751118657,8.17012240029384,2005.15026471091,"234","fit"
6.95705299462067,8.64669000812708,10.7466837114012,2005.33922958005,"234","fit"
9.1300778457127,11.2576955908428,13.8811204195367,2005.52819444919,"234","fit"
11.3644934635299,14.0354786050073,17.3342226209905,2005.71715931833,"234","fit"
13.1881153751191,16.4813894575801,20.5970444393372,2005.90612418747,"234","fit"
14.2230037827046,18.1554650963325,23.175196878241,2006.09508905661,"234","fit"
14.2646804307804,18.7495777619264,24.6445525335398,2006.28405392576,"234","fit"
