"ac.ha","name","geo","sero","year","ac.na"
"CY080507","turkey_Wisconsin_1_1968","USA","H5N9","1968.443","CY080509"
"CY005918","mallard_duck_ALB_57_1976","Canada","H5N2","1976.612","CY004319"
"CY014580","mallard_duck_Alberta_645_1980","Canada","H5N2","1980.639","CY004969"
"CY014722","duck_Minnesota_1516_1981","USA","H5N2","1981.773","CY005897"
"CY014849","mallard_New_York_189_1982","USA","H5N2","1982.915","CY014851"
"EU871820","turkey_Ontario_84_1983","Canada","H5N1","1983.038","EU871822"
"CY014640","duck_New_Zealand_41_1984","New_Zealand","H5N2","1984.107","CY014641"
"CY011248","wigeon_Ohio_379_1988","USA","H5N2","1988.787","CY011250"
"CY005926","herring_gull_NJ_402_1989","USA","H5N3","1989.307","CY004393"
"KF435066","finch_England_2051_1991","USA","H5N2","1991.140","KF435064"
"GQ227551","duck_Altai_1285_1991","Russia","H5N3","1991.619","GQ227552"
"EPI29260","ostrich_Denmark_96_72420_1996","Denmark","H5N2","1996.270","EPI29260"
"CY014717","chicken_Chis_15224_1997","Mexico","H5N2","1997.195","CY005840"
"CY015115","chicken_Italy_312_1997","Italy","H5N2","1997.786","CY015117"
"FJ750571","chicken_Belgium_150VB_1999","Belgium","H5N2","1999.490","FJ750569"
"CY064942","mallard_Netherlands_3_1999","Netherlands","H5N2","1999.770","CY064944"
"GQ162786","duck_Primorie_2621_2001","Russia","H5N2","2001.644","GQ162788"
"GQ227604","duck_Primorie_2633_2001","Russia","H5N3","2001.644","GQ227605"
"JF772148","quail_Guangxi_11_2002","China","H5N1","2002.534","JF772150"
"JF772156","quail_Guangxi_12_2002","China","H5N1","2002.534","JF772158"
"JF772164","quail_Guangxi_13_2002","China","H5N1","2002.534","JF772166"
"CY016611","mallard_Maryland_789_2002","USA","H5N2","2002.652","GU053499"
"KF695303","mallard_Sweden_7_2002","Sweden","H5N2","2002.814","GU052566"
"KF695328","mallard_Sweden_49_2002","Sweden","H5N9","2002.868","GU052870"
"AB535131","whistling_swan_Shimane_580_2002","Japan","H5N3","2002.932","AB562339"
"JF732739","ostrich_Suzhou_097_2003","China","H5N1","2003.288","JF732738"
"CY144507","ruddy_turnstone_Delaware_AI03_371_2003","USA","H5N2","2003.392","CY144509"
"EF541407","chicken_Viet_Nam_Ncvd8_2003","Vietnam","H5N1","2003.581","EF541468"
"GU183447","chicken_East_Java_BL_IP2003","Indonesia","H5N1","2003.786","GU183466"
"GQ122384","chicken_West_Java_UT1001_2003","Indonesia","H5N1","2003.800","GQ122427"
"GQ122385","chicken_East_Java_UT1006_2003","Indonesia","H5N1","2003.871","GQ122433"
"GU183448","chicken_West_Java_1074_2003","Indonesia","H5N1","2003.871","GU183467"
"EPI120183","shoveler_Egypt_20313_NAMRU3_2003","Egypt","H5N2","2003.953","EPI120183"
"EF473080","chicken_Indonesia_7_2003","Indonesia","H5N1","2003.967","EF473082"
"HM114449","Vietnam_UT3028_2003","Vietnam","H5N1","2003.989","HM114451"
"HM114457","Vietnam_UT3028II_2003","Vietnam","H5N1","2003.992","HM114459"
"HM114465","Vietnam_UT3030_2003","Vietnam","H5N1","2003.992","HM114467"
"HM627945","openbill_stork_Thailand_VSMU_12_BKK_2003","Thailand","H5N1","2003.995","HM627947"
"HM114473","Vietnam_UT3035_2003","Vietnam","H5N1","2003.997","HM114475"
"HM114481","Vietnam_UT3040_2004","Vietnam","H5N1","2004.014","HM114483"
"HM114490","Vietnam_UT3040II_2004","Vietnam","H5N1","2004.016","HM114488"
"GQ122386","quail_Yogjakarta_UT1023_2004","Indonesia","H5N1","2004.038","GQ122439"
"EF473070","goose_Cambodia_28_2004","Cambodia","H5N1","2004.041","EF473071"
"HM114505","Vietnam_UT3062_2004","Vietnam","H5N1","2004.041","HM114507"
"HM114497","Vietnam_UT3047III_2004","Vietnam","H5N1","2004.052","HM114499"
"EF670479","duck_Hunan_15_2004","China","H5N1","2004.074","EF670480"
"EF670482","chicken_Hubei_14_2004","China","H5N1","2004.074","EF670483"
"HM627913","openbill_stork_Thailand_VSMU_4_NSN_2004","Thailand","H5N1","2004.096","HM627915"
"HM627921","openbill_stork_Thailand_VSMU_5_NSN_2004","Thailand","H5N1","2004.096","HM627923"
"HM627937","openbill_stork_Thailand_VSMU_8_BKK_2004","Thailand","H5N1","2004.115","HM627939"
"HM627929","openbill_stork_Thailand_VSMU_6_BKK_2004","Thailand","H5N1","2004.117","HM627931"
"GQ122387","chicken_East_Kalimantan_UT1035_2004","Indonesia","H5N1","2004.126","GQ122445"
"GQ122388","duck_East_Java_UT1046_2004","Indonesia","H5N1","2004.194","GQ122451"
"CY005927","shorebird_DE_101_2004","USA","H5N7","2004.374","CY004400"
"CY005969","shorebird_DE_75_2004","USA","H5N7","2004.374","CY004978"
"CY144579","ruddy_turnstone_New_Jersey_1148676_2004","USA","H5N7","2004.374","CY144581"
"GQ122389","quail_Yogjakarta_UT1075_2004","Indonesia","H5N1","2004.396","GQ122457"
"KR987707","chicken_Denpasar_02_2004","Indonesia","H5N1","2004.495","KR987720"
"HM114513","Vietnam_UT30259_2004","Vietnam","H5N1","2004.568","HM114515"
"HM114521","Vietnam_HN30262IIIM3_2004","Vietnam","H5N1","2004.590","HM114523"
"EF456795","Viet_Nam_JP178_2004","Vietnam","H5N1","2004.620","EF456796"
"FJ519983","ostrich_South_Africa_N227_2004","South_Africa","H5N2","2004.620","FJ519985"
"KC684446","chicken_Malaysia_5744_2004","Malaysia","H5N1","2004.626","KC684447"
"GQ122390","duck_East_Java_UT1107_2004","Indonesia","H5N1","2004.648","GQ122463"
"GU183449","Muscovy_duck_Jakarta_DKI_Uwit_2004","Indonesia","H5N1","2004.787","GU183468"
"GU183450","chicken_Banten_Pdgl_Kas_2004","Indonesia","H5N1","2004.787","GU183470"
"GU351859","duck_Korea_GJ54_2004","South_Korea","H5N2","2004.978","GU351860"
"JQ990145","parrot_Guangdong_258_2004","China","H5N2","2004.992","JQ990146"
"GQ184330","mallard_Xuyi_10_2005","China","H5N2","2005.038","GQ184334"
"GU183452","Muscovy_duck_West_Java_Bgr_Cw_2005","Indonesia","H5N1","2005.038","GU183485"
"EF566199","chicken_Vietnam_NCVD10_2005","Vietnam","H5N1","2005.063","CY094817"
"JX013485","parrot_Guangdong_C99_2005","China","H5N1","2005.085","JX013486"
"CY036751","environment_New_York_11653_1_2005","USA","H5N2","2005.088","CY036753"
"HQ664946","chicken_Cambodia_022LC2b_2005","Cambodia","H5N1","2005.104","EF473077"
"HQ200540","chicken_Cambodia_022LC1b_2005","Cambodia","H5N1","2005.107","HQ200541"
"GQ184328","spotbill_duck_Xuyi_18_2005","China","H5N2","2005.123","GQ184331"
"GU189678","chicken_West_Java_Smi_Hay_2005","Indonesia","H5N1","2005.123","GU183471"
"HM114529","Vietnam_UT30408III_2005","Vietnam","H5N1","2005.156","HM114531"
"GU183451","chicken_Jakarta_DKI31_2005","Indonesia","H5N1","2005.200","GU183469"
"HQ200458","Cambodia_P0322095_2005","Cambodia","H5N1","2005.219","HQ200459"
"HQ200554","chicken_Cambodia_047LC3b_2005","Cambodia","H5N1","2005.225","HQ200555"
"HQ200562","chicken_Cambodia_047LC4_2005","Cambodia","H5N1","2005.225","HQ200563"
"KP233704","duck_Hunan_316_2005","China","H5N1","2005.301","KP233706"
"EF566215","duck_Vietnam_367_2005","Vietnam","H5N1","2005.348","CY034224"
"FJ390028","chicken_Astana_6_2005","Kazakhstan","H5N1","2005.452","FJ390029"
"EPI70397","duck_Vietnam_TG24_05","Vietnam","H5N1","2005.485","EPI70397"
"AB233319","bar_headed_goose_Mongolia_1_05","Mongolia","H5N1","2005.534","AB239304"
"AB233320","whooper_swan_Mongolia_3_05","Mongolia","H5N1","2005.534","AB239311"
"CY047552","mallard_Quebec_16334_2005","Canada","H5N3","2005.630","CY047554"
"CY095260","mallard_British_Columbia_07594_2005","Canada","H5N2","2005.630","CY095262"
"CY056268","mallard_California_39_2005","USA","H5N9","2005.633","CY056270"
"CY095268","northern_pintail_British_Columbia_07813_2005","Canada","H5N2","2005.649","CY095270"
"CY047496","mallard_British_Columbia_07826_2005","Canada","H5N2","2005.660","CY047498"
"KR987708","duck_Badung_03_2005","Indonesia","H5N1","2005.663","KR987721"
"FJ517645","pigeon_Zhejiang_17_2005","China","H5N1","2005.704","FJ517646"
"CY014177","Indonesia_CDC7_2005","Indonesia","H5N1","2005.742","CY014179"
"CY014185","chicken_Indonesia_CDC25_2005","Indonesia","H5N1","2005.756","CY014187"
"CY014193","chicken_Indonesia_CDC24_2005","Indonesia","H5N1","2005.756","CY014194"
"EU124081","Chicken_Medan_BBPV1_576_2005","Indonesia","H5N1","2005.781","EU124112"
"GU361192","aquatic_bird_Korea_w16_2005","South_Korea","H5N3","2005.786","GU361344"
"CY110933","duck_Taiwan_DV30_2_2005","Taiwan","H5N2","2005.822","CY110935"
"HM114537","Vietnam_UT30850_2005","Vietnam","H5N1","2005.822","HM114539"
"DQ371928","Anhui_1_2005","China","H5N1","2005.833","EU128239"
"JX094831","turtle_dove_Guangdong_300_2005","China","H5N1","2005.833","JX094832"
"CY014197","Indonesia_CDC184_2005","Indonesia","H5N1","2005.852","CY014237"
"EU146648","Indonesia_160H_2005","Indonesia","H5N1","2005.852","EU146650"
"EU146640","Indonesia_175H_2005","Indonesia","H5N1","2005.860","EU146642"
"CY014168","Indonesia_CDC194P_2005","Indonesia","H5N1","2005.863","CY014240"
"DQ389158","Cygnus_olor_Astrakhan_Ast05_2_1_2005","Russia","H5N1","2005.871","DQ389159"
"DQ399540","Cygnus_olor_Astrakhan_Ast05_2_8_2005","Russia","H5N1","2005.871","DQ399541"
"DQ399547","Cygnus_olor_Astrakhan_Ast05_2_9_2005","Russia","H5N1","2005.871","DQ399546"
"FJ032001","mallard_ON_499_2005","Canada","H5N1","2005.871","FJ032003"
"GU361193","aquatic_bird_Korea_w54_2005","South_Korea","H5N2","2005.871","GU361232"
"GU361194","aquatic_bird_Korea_w74_2005","South_Korea","H5N2","2005.871","GU361233"
"JX444795","wild_bird_Korea_8G9_2005","South_Korea","H5N2","2005.879","JX444797"
"DQ371930","Guangxi_1_2005","China","H5N1","2005.893","CY098586"
"EU146656","Indonesia_195H_2005","Indonesia","H5N1","2005.896","EU146658"
"CY061885","teal_Germany_WV632_2005","Germany","H5N1","2005.899","CY061887"
"DQ343502","Cygnus_olor_Astrakhan_Ast05_2_2_2005","Russia","H5N1","2005.901","DQ343503"
"DQ358746","Cygnus_olor_Astrakhan_Ast05_2_3_2005","Russia","H5N1","2005.901","DQ358747"
"DQ364996","Cygnus_olor_Astrakhan_Ast05_2_6_2005","Russia","H5N1","2005.901","DQ364997"
"DQ365004","Cygnus_olor_Astrakhan_Ast05_2_5_2005","Russia","H5N1","2005.901","DQ365005"
"DQ434889","Cygnus_olor_Astrakhan_Ast05_2_10_2005","Russia","H5N1","2005.901","DQ440579"
"EU930876","chicken_Vietnam_200_2005","Vietnam","H5N1","2005.918","EU930878"
"EU930884","duck_Vietnam_201_2005","Vietnam","H5N1","2005.918","EU930886"
"FJ492885","Jiangxi_1_2005","China","H5N1","2005.923","CY098592"
"EU930892","chicken_Vietnam_202_2005","Vietnam","H5N1","2005.926","EU930894"
"EU930900","duck_Vietnam_203_2005","Vietnam","H5N1","2005.929","EU930902"
"FJ492882","Fujian_1_2005","China","H5N1","2005.929","CY098598"
"EU930908","duck_Vietnam_204_2005","Vietnam","H5N1","2005.932","EU930910"
"EU930916","duck_Vietnam_205_2005","Vietnam","H5N1","2005.932","EU930918"
"EU930924","duck_Vietnam_206_2005","Vietnam","H5N1","2005.932","EU930926"
"EU930932","duck_Vietnam_207_2005","Vietnam","H5N1","2005.932","EU930934"
"EU930940","duck_Vietnam_208_2005","Vietnam","H5N1","2005.932","EU930942"
"EU930948","chicken_Vietnam_209_2005","Vietnam","H5N1","2005.934","EU930950"
"EPI83692","Pigeon_Turkey_Kars_09rs2841_7_2005","Turkey","H5N1","2005.937","EPI83692"
"EU930956","duck_Vietnam_210_2005","Vietnam","H5N1","2005.937","EU930958"
"EU930964","Muscovy_duck_Vietnam_211_2005","Vietnam","H5N1","2005.937","EU930966"
"EU930972","chicken_Vietnam_212_2005","Vietnam","H5N1","2005.937","EU930974"
"EU930980","Muscovy_duck_Vietnam_213_2005","Vietnam","H5N1","2005.937","EU930982"
"EPI83693","Pigeon_Turkey_Agri_09rs2841_8_2005","Turkey","H5N1","2005.940","EPI83693"
"CY014198","Indonesia_CDC287E_2005","Indonesia","H5N1","2005.948","CY014238"
"CY014200","Indonesia_CDC292N_2005","Indonesia","H5N1","2005.953","CY014227"
"CY014201","Indonesia_CDC292T_2005","Indonesia","H5N1","2005.953","CY014228"
"GU361195","aquatic_bird_Korea_w79_2005","South_Korea","H5N2","2005.953","GU361234"
"GU361196","aquatic_bird_Korea_w81_2005","South_Korea","H5N2","2005.953","GU361235"
"GU361197","aquatic_bird_Korea_w96_2005","South_Korea","H5N2","2005.953","GU361236"
"EU930988","duck_Vietnam_215_2005","Vietnam","H5N1","2005.956","EU930990"
"EU930996","chicken_Vietnam_216_2005","Vietnam","H5N1","2005.962","EU930998"
"EU931004","Muscovy_duck_Vietnam_217_2005","Vietnam","H5N1","2005.962","EU931006"
"EU931012","duck_Vietnam_218_2005","Vietnam","H5N1","2005.964","EU931014"
"EU931020","duck_Vietnam_219_2005","Vietnam","H5N1","2005.964","EU931022"
"FJ492881","Sichuan_1_2006","China","H5N1","2006.005","CY098611"
"CY098603","Sichuan_2_2006","China","H5N1","2006.025","CY098605"
"CY014206","Indonesia_CDC329_2006","Indonesia","H5N1","2006.036","CY014235"
"EU146681","Indonesia_283H_2006","Indonesia","H5N1","2006.036","EU146682"
"EU146688","Indonesia_286H_2006","Indonesia","H5N1","2006.036","EU146689"
"CY014204","Indonesia_CDC326_2006","Indonesia","H5N1","2006.038","CY014239"
"CY014205","Indonesia_CDC326T_2006","Indonesia","H5N1","2006.041","CY014229"
"CY014202","Indonesia_CDC326N_2006","Indonesia","H5N1","2006.044","CY014236"
"CY014208","feline_Indonesia_CDC1_2006","Indonesia","H5N1","2006.058","CY014234"
"EPI83694","Chicken_Turkey_Isparta_09rs2841_37_2006","Turkey","H5N1","2006.060","EPI83694"
"EPI83695","Chicken_Turkey_Mus_09rs2841_50_2006","Turkey","H5N1","2006.060","EPI83695"
"EPI83696","Chicken_Turkey_Mus_09rs2841_51_2006","Turkey","H5N1","2006.060","EPI83696"
"EPI83697","Chicken_Turkey_Batman_09rs2841_71_2006","Turkey","H5N1","2006.068","EPI83697"
"EPI79677","Hunan_1_2006","China","H5N1","2006.071","CY098617"
"CY014207","Indonesia_CDC357_2006","Indonesia","H5N1","2006.079","CY014230"
"EU146705","Indonesia_304H_2006","Indonesia","H5N1","2006.079","EU146707"
"EU146697","Indonesia_298H_2006","Indonesia","H5N1","2006.090","EU146699"
"HQ200450","duck_Cambodia_D14AL_2006","Cambodia","H5N1","2006.093","HQ200451"
"FJ445226","mute_swan_Hungary_3472_2006","Hungary","H5N1","2006.099","FJ445228"
"CY014209","Indonesia_CDC370_2006","Indonesia","H5N1","2006.110","CY014231"
"CY014210","Indonesia_CDC370E_2006","Indonesia","H5N1","2006.110","CY014232"
"EPI73294","Zhejiang_1_2006","China","H5N1","2006.110","CY098623"
"GQ355830","swan_Mellach_215_2006","Austria","H5N1","2006.118","GQ355854"
"CY048083","chicken_Nigeria_08RS848_1_2006","Nigeria","H5N1","2006.121","CY048085"
"EPI83698","Chicken_Turkey_Bitlis_09rs2841_93_2006","Turkey","H5N1","2006.121","EPI83698"
"GQ355814","duck_Leibnitz_243_2006","Austria","H5N1","2006.121","GQ355840"
"DQ464354","swan_Germany_R65_2006","Germany","H5N1","2006.123","DQ464355"
"DQ643982","cat_Germany_R606_06","Germany","H5N1","2006.123","DQ643984"
"GU354065","chicken_Nandurbar_7979_2006","India","H5N1","2006.123","GU354067"
"GU454581","chicken_Nandurbar_7966_2006","India","H5N1","2006.123","CY083637"
"MF566119","duck_Niger_2090_2006","Niger","H5N1","2006.123","MF566121"
"FJ445234","mute_swan_Hungary_4571_2006","Hungary","H5N1","2006.126","FJ445236"
"GQ355815","duck_Mellach_335_2006","Austria","H5N1","2006.126","GQ355841"
"CY048307","chicken_Nigeria_08RS848_4_2006","Nigeria","H5N1","2006.129","CY048309"
"EU443552","Peregrine_falcon_Slovakia_Vh246_06","Slovakia","H5N1","2006.132","EU443565"
"EU372943","chicken_Egypt_06207_NLQP_2006","Egypt","H5N1","2006.134","GQ184251"
"CY014213","Indonesia_CDC390_2006","Indonesia","H5N1","2006.137","CY014233"
"CY047995","chicken_Nigeria_08VIR4337_377_2006","Nigeria","H5N1","2006.137","CY047997"
"CY048003","chicken_Nigeria_08VIR4337_378_2006","Nigeria","H5N1","2006.140","CY048005"
"CY048011","chicken_Nigeria_08VIR4337_380_2006","Nigeria","H5N1","2006.140","CY048013"
"EU146729","Indonesia_341H_2006","Indonesia","H5N1","2006.140","EU146731"
"HQ200435","duck_Cambodia_D2KC_2006","Cambodia","H5N1","2006.140","HQ200436"
"EPI79678","Guangdong_1_2006","China","H5N1","2006.142","EPI79678"
"FJ472343","chicken_Qalubia_1_2006","Egypt","H5N1","2006.142","FR687263"
"CY048019","chicken_Nigeria_08VIR4337_387_2006","Nigeria","H5N1","2006.151","CY048021"
"CY048027","chicken_Nigeria_08VIR4337_390_2006","Nigeria","H5N1","2006.156","CY048029"
"CY048363","chicken_Nigeria_08RS848_5_2006","Nigeria","H5N1","2006.156","CY048365"
"CY048419","chicken_Nigeria_08RS848_6_2006","Nigeria","H5N1","2006.156","CY048421"
"KF178948","chicken_Egypt_0626_2006","Egypt","H5N1","2006.159","KF178949"
"EPI69725","peregrine_Denmark_6632_2006","Denmark","H5N1","2006.167","EPI69725"
"EU889072","tufted_duck_Sweden_V526_2006","Sweden","H5N1","2006.167","EU889095"
"EU889082","goosander_Sweden_V539_2006","Sweden","H5N1","2006.167","EU889103"
"EPI20916","swan_Poland_305_135V08_2006","Poland","H5N1","2006.170","EPI20916"
"FJ492884","Guangdong_01_2006","China","H5N1","2006.170","CY098629"
"EU889081","tufted_duck_Sweden_V599_2006","Sweden","H5N1","2006.178","EU889099"
"EU889074","eagle_owl_Sweden_V618_2006","Sweden","H5N1","2006.184","EU889105"
"CY048467","chicken_Nigeria_08RS848_7_2006","Nigeria","H5N1","2006.186","CY048469"
"CY048539","chicken_Nigeria_08RS848_8_2006","Nigeria","H5N1","2006.186","CY048541"
"EPI20920","swan_Poland_467_136V08_2006","Poland","H5N1","2006.186","EPI20920"
"GQ355838","swan_Ybbs_1106_2006","Austria","H5N1","2006.186","GQ355862"
"EPI20919","goosander_Poland_502_137V08_2006","Poland","H5N1","2006.189","EPI20919"
"DQ515984","Cygnus_olor_Czech_Republic_5170_2006","Czech_Republic","H5N1","2006.200","EU443567"
"EPI60002","chicken_Volgograd_236_06","Russia","H5N1","2006.200","EPI60002"
"EPI60013","chicken_Krasnodar_199_06","Russia","H5N1","2006.200","EPI60013"
"EPI60018","chicken_Adygea_203_06","Russia","H5N1","2006.200","EPI60018"
"EPI69720","buzzard_Denmark_6370_2006","Denmark","H5N1","2006.200","EPI69720"
"EPI69730","tufted_duck_Denmark_6431_2006","Denmark","H5N1","2006.200","EPI69730"
"GU046706","swan_Bavaria_23_2006","Germany","H5N1","2006.200","GU046707"
"GU046708","swan_Bavaria_24_2006","Germany","H5N1","2006.200","GU046709"
"GU046710","swan_Bavaria_25_2006","Germany","H5N1","2006.200","GU046711"
"GU046712","tufted_duck_Bavaria_26_2006","Germany","H5N1","2006.200","GU046713"
"GQ355816","duck_Schaerding_1398_2006","Austria","H5N1","2006.203","GQ355842"
"GQ355836","swan_Wien_1410_2006","Austria","H5N1","2006.203","GQ355860"
"KC690156","domestic_green_winged_teal_Hunan_3450_2006","China","H5N1","2006.203","KC690158"
"AM400972","hooded_vulture_Burkina_Faso_2_2006","Burkina_Faso","H5N1","2006.205","AM503017"
"EU372945","chicken_Egypt_06495_NLQP_2006","Egypt","H5N1","2006.205","GQ184252"
"EU889077","mute_swan_Sweden_V827_2006","Sweden","H5N1","2006.205","EU889104"
"EU889079","smew_Sweden_V820_2006","Sweden","H5N1","2006.205","EU889098"
"EPI69724","tufted_duck_Denmark_6540_2006","Denmark","H5N1","2006.211","EPI69724"
"EU372946","chicken_Egypt_06541_NLQP_2006","Egypt","H5N1","2006.214","GQ184253"
"FJ436942","swan_Mangystau_3_2006","Kazakhstan","H5N1","2006.214","FJ436943"
"GQ355835","swan_Voecklabruck_1484_2006","Austria","H5N1","2006.214","GQ355859"
"CY046150","duck_France_06436_2006","France","H5N3","2006.216","CY046152"
"EPI69731","grey_lag_goose_Denmark_6692_2006","Denmark","H5N1","2006.216","EPI69731"
"EU889075","mink_Sweden_V907_2006","Sweden","H5N1","2006.216","EU889101"
"GQ355832","swan_Schaerding_1499_2006","Austria","H5N1","2006.216","GQ355856"
"GQ355812","coot_Voecklabruck_1585_2006","Austria","H5N1","2006.219","GQ355839"
"CY014311","Indonesia_CDC523_2006","Indonesia","H5N1","2006.222","CY014313"
"CY014368","Indonesia_CDC523E_2006","Indonesia","H5N1","2006.222","CY014370"
"CY014376","Indonesia_CDC523T_2006","Indonesia","H5N1","2006.222","CY014378"
"GQ355831","swan_Perg_1358_2006","Austria","H5N1","2006.222","GQ355855"
"EPI20921","hawk_Poland_937_138V08_2006","Poland","H5N1","2006.225","EPI20921"
"HQ200519","duck_Cambodia_D3KP_2006","Cambodia","H5N1","2006.225","HQ200520"
"EU889073","tufted_duck_Sweden_V998_2006","Sweden","H5N1","2006.238","EU889096"
"EU889076","canada_goose_Sweden_V978_2006","Sweden","H5N1","2006.238","EU889102"
"GQ355818","duck_Wien_1836_2006","Austria","H5N1","2006.238","GQ355844"
"GQ355833","swan_Schaerding_1806_2006","Austria","H5N1","2006.238","GQ355857"
"EU443549","Cygnus_olor_Czech_Republic_6111_06","Czech_Republic","H5N1","2006.241","EU443564"
"EU443629","whooper_swan_Scotland_1430_2006","United_Kingdom","H5N1","2006.244","EU443628"
"CY098641","Hubei_1_2006","China","H5N1","2006.247","CY098643"
"EPI20922","swan_Poland_1242_139V08_2006","Poland","H5N1","2006.252","EPI20922"
"EPI69732","whooper_swan_Denmark_7224_2006","Denmark","H5N1","2006.252","EPI69732"
"GQ355819","egret_Wien_1977_2006","Austria","H5N1","2006.252","GQ355845"
"GQ355820","goose_Wien_1966_2006","Austria","H5N1","2006.252","GQ355846"
"CY048091","guinea_fowl_Nigeria_08RS848_10_2006","Nigeria","H5N1","2006.255","CY048093"
"CY048579","chicken_Nigeria_08RS848_9_2006","Nigeria","H5N1","2006.255","CY048581"
"GQ355817","duck_Wels_2025_2006","Austria","H5N1","2006.255","GQ355843"
"GQ355823","swan_Gmunden_2126_2006","Austria","H5N1","2006.255","GQ355847"
"HQ200423","Cambodia_Q0405047_2006","Cambodia","H5N1","2006.255","HQ200424"
"HQ200428","duck_Cambodia_D2KP_2006","Cambodia","H5N1","2006.255","HQ200429"
"EPI69722","whooper_swan_Denmark_7275_2006","Denmark","H5N1","2006.258","EPI69722"
"EU889080","tufted_duck_Sweden_V1027_2006","Sweden","H5N1","2006.260","EU889097"
"EU889078","herring_gull_Sweden_V1116_2006","Sweden","H5N1","2006.263","EU889100"
"CY048035","chicken_Nigeria_08VIR4337_426_2006","Nigeria","H5N1","2006.279","CY048037"
"GQ355837","swan_Wien_2323_2006","Austria","H5N1","2006.279","GQ355861"
"GQ355826","swan_Krems_2354_2006","Austria","H5N1","2006.282","GQ355850"
"CY048171","turkey_Nigeria_08RS848_12_2006","Nigeria","H5N1","2006.285","CY048173"
"GU046716","tufted_duck_Bavaria_27_2006","Germany","H5N1","2006.285","GU046717"
"GU046718","swan_Bavaria_28_2006","Germany","H5N1","2006.285","GU046719"
"GU046720","swan_Bavaria_29_2006","Germany","H5N1","2006.285","GU046721"
"GU046722","common_pochard_Bavaria_30_2006","Germany","H5N1","2006.285","GU046723"
"GU046724","great_crested_grebe_Bavaria_31_2006","Germany","H5N1","2006.285","GU046725"
"GU046726","swan_Bavaria_32_2006","Germany","H5N1","2006.285","GU046727"
"GU046728","swan_Bavaria_33_2006","Germany","H5N1","2006.285","GU046729"
"GU046730","goosander_Bavaria_34_2006","Germany","H5N1","2006.285","GU046731"
"CY098648","Sichuan_3_2006","China","H5N1","2006.288","CY098650"
"HM208702","chicken_Lahore_NARC_3320_2006","Pakistan","H5N1","2006.293","HM208704"
"GQ355834","swan_Schwechat_2538_2006","Austria","H5N1","2006.299","GQ355858"
"EU889071","eagle_owl_Sweden_V1218_2006","Sweden","H5N1","2006.301","EU889106"
"GQ355827","swan_Krems_2547_2006","Austria","H5N1","2006.301","GQ355851"
"CY014384","Indonesia_CDC582_2006","Indonesia","H5N1","2006.315","CY014386"
"GQ355828","swan_Krems_2675_2006","Austria","H5N1","2006.315","GQ355852"
"GQ355829","swan_Laakirchen_2703_2006","Austria","H5N1","2006.315","GQ355853"
"EPI69721","great_crested_grebe_Denmark_7498_2006","Denmark","H5N1","2006.321","EPI69721"
"EU124206","Muscovy_Duck_Indonesia_Kedri1631_24_2006","Indonesia","H5N1","2006.329","EU124226"
"CY014272","Indonesia_CDC594_2006","Indonesia","H5N1","2006.351","CY014274"
"CY014280","Indonesia_CDC595_2006","Indonesia","H5N1","2006.351","CY014282"
"EU146737","Indonesia_534H_2006","Indonesia","H5N1","2006.351","EU146739"
"EU146745","Indonesia_538H_2006","Indonesia","H5N1","2006.351","EU146686"
"JX080783","tundra_swan_Alaska_44049_168_2006","USA","H5N2","2006.351","JX081175"
"CY014288","Indonesia_CDC596_2006","Indonesia","H5N1","2006.353","CY014290"
"CY014296","Indonesia_CDC597_2006","Indonesia","H5N1","2006.353","CY014298"
"EU146753","Indonesia_535H_2006","Indonesia","H5N1","2006.353","EU146759"
"EU146777","Indonesia_542H_2006","Indonesia","H5N1","2006.353","EU146779"
"CY014303","Indonesia_CDC599_2006","Indonesia","H5N1","2006.356","CY014305"
"CY014393","Indonesia_CDC610_2006","Indonesia","H5N1","2006.356","CY014398"
"JX080754","greater_white_fronted_goose_Alaska_44049_046_2006","USA","H5N2","2006.356","JX081145"
"JX080782","tundra_swan_Alaska_44049_099_2006","USA","H5N2","2006.356","JX081174"
"JX080784","tundra_swan_Alaska_44050_005_2006","USA","H5N2","2006.356","JX081176"
"CY014477","Indonesia_CDC599N_2006","Indonesia","H5N1","2006.359","CY014479"
"CY048043","chicken_Nigeria_08VIR4337_434_2006","Nigeria","H5N1","2006.359","CY048045"
"EU443541","Cygnus_olor_Czech_Republic_10662_06","Czech_Republic","H5N1","2006.359","EU443571"
"EU443542","Cygnus_olor_Czech_Republic_10814_06","Czech_Republic","H5N1","2006.359","EU443572"
"EU146755","Indonesia_546H_2006","Indonesia","H5N1","2006.362","EU146761"
"AB263752","whooper_swan_Mongolia_2_06","Mongolia","H5N1","2006.367","AB265202"
"AB284324","common_goldeneye_Mongolia_12_2006","Mongolia","H5N1","2006.367","AB284326"
"CY036034","Muscovy_duck_New_York_62095_1_2006","USA","H5N2","2006.367","CY036036"
"FJ602794","bar_headed_goose_Qinghai_1_2006","China","H5N1","2006.367","FJ602829"
"CY062439","Egypt_7021_NAMRU3_2006","Egypt","H5N1","2006.370","CY062440"
"EPI69723","peacock_Denmark_60295_2006","Denmark","H5N1","2006.370","EPI69723"
"EU146793","Indonesia_546bH_2006","Indonesia","H5N1","2006.373","EU146795"
"CY014401","Indonesia_CDC623_2006","Indonesia","H5N1","2006.375","CY014406"
"CY014409","Indonesia_CDC623E_2006","Indonesia","H5N1","2006.378","CY014414"
