"","name","states","ref","time"
"1","DQ343150_chicken_Hebei_326_2005_|China|_H5N1_2005.496","D_a",NA,2005
"2","DQ914814_chicken_Shanxi_2_2006_|China|_H5N1_2006.496","D_a",NA,2006
"3","DQ992794_goose_Yunnan_3315_2005_|China|_H5N1_2005.496","D_a",NA,2005
"4","DQ992801_duck_Yunnan_5133_2005_|China|_H5N1_2005.496","D_a",NA,2005
"5","DQ992802_duck_Yunnan_5236_2005_|China|_H5N1_2005.496","D_a",NA,2005
"6","DQ992805_goose_Yunnan_5539_2005_|China|_H5N1_2005.496","D_a",NA,2005
"7","EF587277_Beijing_01_2003_|China|_H5N1_2003.496","D_m",NA,2003
"8","EPI169393_Chicken_Shandong_J02_2009_|China|_H5N1_2009.666","D_a",NA,2009
"9","EPI169416_Chicken_Shandong_J03_2009_|China|_H5N1_2009.666","D_a",NA,2009
"10","EPI169417_Chicken_Shandong_J04_2009_|China|_H5N1_2009.666","D_a",NA,2009
"11","EPI169418_Chicken_Shandong_J05_2009_|China|_H5N1_2009.666","D_a",NA,2009
"12","EPI180472_environment_Guizhou_00320_2013_|China|_H5N1_2013.110","D_e","Genesis and dissemination of highly pathogenic H5N6 avian influenza viruses",2013
"13","EPI180754_environment_Hubei_950_2013_|China|_H5N1_2013.153","D_e","Genesis and dissemination of highly pathogenic H5N6 avian influenza viruses",2013
"14","EPI196570_environment_Jiangsu_WX1761_2014_|China|_H5N2_2014.293","D_e","Novel Highly Pathogenic Avian H5 Influenza A Viruses in Live Poultry Markets, Wuxi City, China, 2013−2014",2014
"15","EPI201792_wildfowl_China_472_2014_|China|_H5N2_2014.052","W_a",NA,2014
"16","EPI219845_Environment_Hunan_18328_2014_|China|_H5N2_2014.159","D_e","Genesis and dissemination of highly pathogenic H5N6 avian influenza viruses",2014
"17","EU195408_mallard_Huadong_hn_2005_|China|_H5N1_2005.496","D_a","Characterization of duck H5N1 influenza viruses with differing pathogenicity in mallard (Anas platyrhynchos) ducks",2005
"18","EU243126_chicken_Hebei_706_2005_|China|_H5N1_2005.496","D_a",NA,2005
"19","EU243133_chicken_Hebei_102_2005_|China|_H5N1_2005.496","D_a",NA,2005
"20","EU243146_chicken_Hebei_126_2005_|China|_H5N1_2005.496","D_a",NA,2005
"21","EU430496_domestic_green_winged_teal_Hunan_67_2005_|China|_H5N1_2005.496","D_a",NA,2005
"22","EU430511_domestic_green_winged_teal_Hunan_79_2005_|China|_H5N1_2005.496","D_a",NA,2005
"23","GU182222_environment_Hunan_1_35_2007_|China|_H5N1_2007.200","W_e","GenBank",2007
"24","GU182230_environment_Hunan_1_12_2007_|China|_H5N1_2007.200","W_e","GenBank",2007
"25","GU182238_environment_Hunan_2_16_2007_|China|_H5N1_2007.285","W_e","GenBank",2007
"26","GU182246_environment_Hunan_2_1_2007_|China|_H5N1_2007.285","W_e","GenBank",2007
"27","HM172073_chicken_Shandong_10_2006_|China|_H5N1_2006.496","D_a",NA,2006
"28","HM172076_chicken_Ningxia_24_2006_|China|_H5N1_2006.496","D_a",NA,2006
"29","HM172077_chicken_Liaoning_11_2006_|China|_H5N1_2006.496","D_a",NA,2006
"30","HM172078_chicken_Liaoning_1_2007_|China|_H5N1_2007.496","D_a",NA,2007
"31","HM172080_chicken_Henan_7_2006_|China|_H5N1_2006.496","D_a",NA,2006
"32","HM172081_chicken_Hebei_8_2009_|China|_H5N1_2009.496","D_a",NA,2009
"33","HM172082_chicken_Shandong_5_2006_|China|_H5N1_2006.496","D_a",NA,2006
"34","HM172090_chicken_Xinjiang_28_2006_|China|_H5N1_2006.496","D_a",NA,2006
"35","HM172091_chicken_Xinjiang_27_2006_|China|_H5N1_2006.496","D_a",NA,2006
"36","HM172092_chicken_Jiangsu_18_2008_|China|_H5N1_2008.497","D_a",NA,2008
"37","HM172094_chicken_Xinjiang_53_2005_|China|_H5N1_2005.496","D_a",NA,2005
"38","HM172099_chicken_Xinjiang_67_2005_|China|_H5N1_2005.496","D_a",NA,2005
"39","HM172102_chicken_Xinjiang_17_2005_|China|_H5N1_2005.496","D_a",NA,2005
"40","HM172103_chicken_Xinjiang_78_2005_|China|_H5N1_2005.496","D_a",NA,2005
"41","HM172106_chicken_Xinjiang_68_2005_|China|_H5N1_2005.496","D_a",NA,2005
"42","HM172108_chicken_Xinjiang_16_2005_|China|_H5N1_2005.496","D_a",NA,2005
"43","HM172111_chicken_Xinjiang_54_2005_|China|_H5N1_2005.496","D_a",NA,2005
"44","HM172113_chicken_Shanxi_10_2006_|China|_H5N1_2006.496","D_a",NA,2006
"45","HQ677023_chicken_Huadong_4_2008_|China|_H5N1_2008.954","D_a",NA,2008
"46","JQ041399_duck_Hebei_0908_2009_|China|_H5N2_2009.619","D_a",NA,2009
"47","JQ041400_chicken_Hebei_1102_2010_|China|_H5N2_2010.953","D_a",NA,2010
"48","JQ277225_chicken_Sheny_0606_2008_|China|_H5N1_2008.429","D_a",NA,2008
"49","JX534549_wild_duck_Shandong_1_2011_|China|_H5N1_2011.277","W_a",NA,2011
"50","KC683522_swine_Jiangsu_1_2008_|China|_H5N1_2008.954","D_m",NA,2008
"51","KF150634_chicken_Jiangsu_1001_2013_|China|_H5N2_2013.277","D_a",NA,2013
"52","KF638579_chicken_Ningxia_222_2012_|China|_H5N1_2012.281","D_a",NA,2012
"53","KJ174937_chicken_Henan_Q7_2013_|China|_H5N2_2013.504","D_a",NA,2013
"54","KJ683880_chicken_Qingdao_1_2014_|China|_H5N2_2014.041","D_a",NA,2014
"55","KJ719459_chicken_Hebei_1102_M2010_|China|_H5N2_2010.367","D_a",NA,2010
"56","KP000007_chicken_Chiping_0321_2014_|China|_H5N2_2014.216","D_a",NA,2014
"57","KP000015_chicken_Laiwu_0313_2014_|China|_H5N2_2014.195","D_a",NA,2014
"58","KP000023_chicken_Shijiazhuang_1209_2013_|China|_H5N2_2013.937","D_a",NA,2013
"59","KU143254_chicken_Wenzhou_HAYXLG01_2015_|China|_H5N2_2015.038","D_a",NA,2015
"60","KU143255_chicken_Wenzhou_HAYXLG03_2015_|China|_H5N2_2015.038","D_a",NA,2015
"61","KX160148_chicken_Gansu_5_2012_|China|_H5N1_2012.421","D_a",NA,2012
"62","KX160156_chicken_Gansu_6_2012_|China|_H5N1_2012.426","D_a",NA,2012
"63","KX160164_chicken_Hebei_3_2013_|China|_H5N2_2013.970","D_a",NA,2013
"64","KX160179_chicken_Heilongjiang_S7_2014_|China|_H5N2_2014.595","D_a",NA,2014
"65","KX160186_chicken_Liaoning_S4092_2011_|China|_H5N1_2011.860","D_a",NA,2011
"66","KX160193_chicken_Ningxia_2_2012_|China|_H5N1_2012.180","D_a",NA,2012
"67","KX160201_chicken_Shandong_S3_2014_|China|_H5N2_2014.060","D_a",NA,2014
"68","MF116312_chicken_China_E93_2012_|China|_H5N1_2012.522","D_a",NA,2012
